image,distance,aq_scale,aq_mean,file_size,bpp,dssim,ssimulacra2,encode_ms
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,1.750,0.4668,86845,1.6386,0.001735,72.74,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,2.000,0.5335,84682,1.5978,0.001859,71.32,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,2.500,0.6669,80881,1.5261,0.002098,68.74,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,3.000,0.8003,77410,1.4606,0.002373,67.08,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,3,0.250,0.0733,81479,1.5373,0.001911,73.98,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,3,0.500,0.1466,79188,1.4941,0.002002,72.82,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,3,0.750,0.2199,77192,1.4565,0.002118,71.65,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,3,1.000,0.2932,74972,1.4146,0.002245,70.59,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,3,1.250,0.3665,72945,1.3763,0.002388,69.40,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,3,1.500,0.4398,70983,1.3393,0.002543,67.98,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,3,1.750,0.5131,69302,1.3076,0.002702,66.23,11
clic_0c49a5cce349020bbba2f97ae41e90ba.png,3,2.000,0.5864,67657,1.2765,0.002874,65.05,11
clic_0c49a5cce349020bbba2f97ae41e90ba.png,3,2.500,0.7330,64716,1.2211,0.003234,62.39,11
clic_0c49a5cce349020bbba2f97ae41e90ba.png,3,3.000,0.8795,61991,1.1696,0.003612,59.81,11
clic_100a02c269c5948392f283b2aa3bb4da.png,0.5,0.250,0.0395,184357,3.4589,0.000157,92.10,14
clic_100a02c269c5948392f283b2aa3bb4da.png,0.5,0.500,0.0790,181042,3.3967,0.000161,91.61,14
clic_100a02c269c5948392f283b2aa3bb4da.png,0.5,0.750,0.1184,177962,3.3389,0.000165,91.24,14
clic_100a02c269c5948392f283b2aa3bb4da.png,0.5,1.000,0.1579,175092,3.2850,0.000170,90.59,14
clic_100a02c269c5948392f283b2aa3bb4da.png,0.5,1.250,0.1974,172318,3.2330,0.000175,90.34,14
clic_100a02c269c5948392f283b2aa3bb4da.png,0.5,1.500,0.2369,169654,3.1830,0.000182,90.15,13
clic_100a02c269c5948392f283b2aa3bb4da.png,0.5,1.750,0.2763,167139,3.1358,0.000188,89.99,13
clic_100a02c269c5948392f283b2aa3bb4da.png,0.5,2.000,0.3158,164629,3.0887,0.000195,89.75,14
clic_100a02c269c5948392f283b2aa3bb4da.png,0.5,2.500,0.3948,160071,3.0032,0.000211,89.03,13
clic_100a02c269c5948392f283b2aa3bb4da.png,0.5,3.000,0.4737,156053,2.9278,0.000226,88.49,13
clic_100a02c269c5948392f283b2aa3bb4da.png,1,0.250,0.0395,119462,2.2413,0.000382,87.79,13
clic_100a02c269c5948392f283b2aa3bb4da.png,1,0.500,0.0790,117031,2.1957,0.000389,87.51,13
clic_100a02c269c5948392f283b2aa3bb4da.png,1,0.750,0.1184,114542,2.1490,0.000402,87.03,13
clic_100a02c269c5948392f283b2aa3bb4da.png,1,1.000,0.1579,112303,2.1070,0.000416,86.71,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1,1.250,0.1974,110284,2.0691,0.000431,86.29,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1,1.500,0.2369,108361,2.0330,0.000447,85.90,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1,1.750,0.2763,106489,1.9979,0.000465,85.33,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1,2.000,0.3158,104773,1.9657,0.000486,84.70,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1,2.500,0.3948,101515,1.9046,0.000530,83.76,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1,3.000,0.4737,98510,1.8482,0.000579,82.89,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1.5,0.250,0.0427,93991,1.7634,0.000624,85.29,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1.5,0.500,0.0854,91957,1.7253,0.000640,84.70,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1.5,0.750,0.1282,89943,1.6875,0.000661,84.10,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1.5,1.000,0.1709,88030,1.6516,0.000684,83.53,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1.5,1.250,0.2136,86192,1.6171,0.000711,82.88,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1.5,1.500,0.2563,84528,1.5859,0.000746,82.19,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1.5,1.750,0.2990,83102,1.5591,0.000781,81.47,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1.5,2.000,0.3417,81566,1.5303,0.000818,80.98,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1.5,2.500,0.4272,78812,1.4786,0.000893,79.96,12
clic_100a02c269c5948392f283b2aa3bb4da.png,1.5,3.000,0.5126,76457,1.4345,0.000973,78.89,11
clic_100a02c269c5948392f283b2aa3bb4da.png,2,0.250,0.0472,80817,1.5163,0.000867,82.66,12
clic_100a02c269c5948392f283b2aa3bb4da.png,2,0.500,0.0944,78762,1.4777,0.000887,82.12,12
clic_100a02c269c5948392f283b2aa3bb4da.png,2,0.750,0.1416,77008,1.4448,0.000917,81.70,12
clic_100a02c269c5948392f283b2aa3bb4da.png,2,1.000,0.1887,75208,1.4110,0.000953,81.05,12
clic_100a02c269c5948392f283b2aa3bb4da.png,2,1.250,0.2359,73712,1.3830,0.000994,80.18,12
clic_100a02c269c5948392f283b2aa3bb4da.png,2,1.500,0.2831,72253,1.3556,0.001040,79.65,12
clic_100a02c269c5948392f283b2aa3bb4da.png,2,1.750,0.3303,70863,1.3295,0.001090,79.07,11
clic_100a02c269c5948392f283b2aa3bb4da.png,2,2.000,0.3775,69542,1.3047,0.001142,78.46,11
clic_100a02c269c5948392f283b2aa3bb4da.png,2,2.500,0.4719,67211,1.2610,0.001256,77.21,11
clic_100a02c269c5948392f283b2aa3bb4da.png,2,3.000,0.5662,65020,1.2199,0.001368,75.81,11
clic_100a02c269c5948392f283b2aa3bb4da.png,3,0.250,0.0567,65615,1.2311,0.001351,77.97,12
clic_100a02c269c5948392f283b2aa3bb4da.png,3,0.500,0.1133,63992,1.2006,0.001388,77.44,11
clic_100a02c269c5948392f283b2aa3bb4da.png,3,0.750,0.1700,62529,1.1732,0.001437,76.59,11
clic_100a02c269c5948392f283b2aa3bb4da.png,3,1.000,0.2266,61114,1.1466,0.001496,76.09,11
clic_100a02c269c5948392f283b2aa3bb4da.png,3,1.250,0.2833,59829,1.1225,0.001563,75.48,11
clic_100a02c269c5948392f283b2aa3bb4da.png,3,1.500,0.3399,58628,1.1000,0.001636,74.88,12
clic_100a02c269c5948392f283b2aa3bb4da.png,3,1.750,0.3966,57522,1.0792,0.001716,74.12,12
clic_100a02c269c5948392f283b2aa3bb4da.png,3,2.000,0.4532,56455,1.0592,0.001799,73.45,11
clic_100a02c269c5948392f283b2aa3bb4da.png,3,2.500,0.5665,54416,1.0209,0.001964,72.23,11
clic_100a02c269c5948392f283b2aa3bb4da.png,3,3.000,0.6799,52667,0.9881,0.002126,71.14,11
clic_100f17892cf7bb12beb12479641fcc4c.png,0.5,0.250,0.0857,255858,2.1322,0.000219,89.84,32
clic_100f17892cf7bb12beb12479641fcc4c.png,0.5,0.500,0.1714,247238,2.0603,0.000245,89.37,30
clic_100f17892cf7bb12beb12479641fcc4c.png,0.5,0.750,0.2571,237758,1.9813,0.000274,88.89,29
clic_100f17892cf7bb12beb12479641fcc4c.png,0.5,1.000,0.3428,229496,1.9125,0.000305,88.47,30
clic_100f17892cf7bb12beb12479641fcc4c.png,0.5,1.250,0.4285,222248,1.8521,0.000338,88.00,29
clic_100f17892cf7bb12beb12479641fcc4c.png,0.5,1.500,0.5142,215563,1.7964,0.000374,87.55,30
clic_100f17892cf7bb12beb12479641fcc4c.png,0.5,1.750,0.5999,208961,1.7413,0.000412,87.07,28
clic_100f17892cf7bb12beb12479641fcc4c.png,0.5,2.000,0.6856,202473,1.6873,0.000451,86.66,28
clic_100f17892cf7bb12beb12479641fcc4c.png,0.5,2.500,0.8570,190643,1.5887,0.000534,85.82,29
clic_100f17892cf7bb12beb12479641fcc4c.png,0.5,3.000,1.0284,180299,1.5025,0.000626,84.97,28
clic_100f17892cf7bb12beb12479641fcc4c.png,1,0.250,0.0857,150918,1.2576,0.000645,83.69,28
clic_100f17892cf7bb12beb12479641fcc4c.png,1,0.500,0.1714,144046,1.2004,0.000728,82.96,27
clic_100f17892cf7bb12beb12479641fcc4c.png,1,0.750,0.2571,137919,1.1493,0.000829,82.18,27
clic_100f17892cf7bb12beb12479641fcc4c.png,1,1.000,0.3428,131851,1.0988,0.000940,81.38,28
clic_100f17892cf7bb12beb12479641fcc4c.png,1,1.250,0.4285,126276,1.0523,0.001061,80.58,27
clic_100f17892cf7bb12beb12479641fcc4c.png,1,1.500,0.5142,121128,1.0094,0.001189,79.82,27
clic_100f17892cf7bb12beb12479641fcc4c.png,1,1.750,0.5999,116183,0.9682,0.001321,79.03,28
clic_100f17892cf7bb12beb12479641fcc4c.png,1,2.000,0.6856,111410,0.9284,0.001455,78.29,27
clic_100f17892cf7bb12beb12479641fcc4c.png,1,2.500,0.8570,103295,0.8608,0.001735,76.74,27
clic_100f17892cf7bb12beb12479641fcc4c.png,1,3.000,1.0284,96634,0.8053,0.002047,75.17,26
clic_100f17892cf7bb12beb12479641fcc4c.png,1.5,0.250,0.0872,113467,0.9456,0.001122,80.11,27
clic_100f17892cf7bb12beb12479641fcc4c.png,1.5,0.500,0.1743,107694,0.8974,0.001273,79.15,27
clic_100f17892cf7bb12beb12479641fcc4c.png,1.5,0.750,0.2615,102564,0.8547,0.001454,78.07,26
clic_100f17892cf7bb12beb12479641fcc4c.png,1.5,1.000,0.3486,97811,0.8151,0.001650,77.02,27
clic_100f17892cf7bb12beb12479641fcc4c.png,1.5,1.250,0.4358,93414,0.7784,0.001861,75.94,26
clic_100f17892cf7bb12beb12479641fcc4c.png,1.5,1.500,0.5229,89446,0.7454,0.002075,74.85,26
clic_100f17892cf7bb12beb12479641fcc4c.png,1.5,1.750,0.6101,85679,0.7140,0.002293,73.85,26
clic_100f17892cf7bb12beb12479641fcc4c.png,1.5,2.000,0.6972,82084,0.6840,0.002519,72.86,25
clic_100f17892cf7bb12beb12479641fcc4c.png,1.5,2.500,0.8715,75538,0.6295,0.002977,70.84,26
clic_100f17892cf7bb12beb12479641fcc4c.png,1.5,3.000,1.0458,70318,0.5860,0.003476,68.79,25
clic_100f17892cf7bb12beb12479641fcc4c.png,2,0.250,0.0892,91892,0.7658,0.001658,76.12,26
clic_100f17892cf7bb12beb12479641fcc4c.png,2,0.500,0.1785,87166,0.7264,0.001872,75.00,26
clic_100f17892cf7bb12beb12479641fcc4c.png,2,0.750,0.2677,83111,0.6926,0.002124,73.74,26
clic_100f17892cf7bb12beb12479641fcc4c.png,2,1.000,0.3570,79297,0.6608,0.002398,72.47,25
clic_100f17892cf7bb12beb12479641fcc4c.png,2,1.250,0.4462,75576,0.6298,0.002689,71.18,25
clic_100f17892cf7bb12beb12479641fcc4c.png,2,1.500,0.5355,72233,0.6019,0.002993,69.92,26
clic_100f17892cf7bb12beb12479641fcc4c.png,2,1.750,0.6247,69076,0.5756,0.003292,68.72,26
clic_100f17892cf7bb12beb12479641fcc4c.png,2,2.000,0.7140,66135,0.5511,0.003585,67.58,25
clic_100f17892cf7bb12beb12479641fcc4c.png,2,2.500,0.8924,60798,0.5067,0.004183,65.27,25
clic_100f17892cf7bb12beb12479641fcc4c.png,2,3.000,1.0709,56442,0.4703,0.004819,63.05,25
clic_100f17892cf7bb12beb12479641fcc4c.png,3,0.250,0.0937,69551,0.5796,0.002791,70.17,26
clic_100f17892cf7bb12beb12479641fcc4c.png,3,0.500,0.1873,65927,0.5494,0.003115,68.73,26
clic_100f17892cf7bb12beb12479641fcc4c.png,3,0.750,0.2810,62658,0.5222,0.003482,67.25,25
clic_100f17892cf7bb12beb12479641fcc4c.png,3,1.000,0.3746,59760,0.4980,0.003865,65.76,25
clic_100f17892cf7bb12beb12479641fcc4c.png,3,1.250,0.4683,56971,0.4748,0.004271,64.25,25
clic_100f17892cf7bb12beb12479641fcc4c.png,3,1.500,0.5619,54576,0.4548,0.004672,62.83,25
clic_100f17892cf7bb12beb12479641fcc4c.png,3,1.750,0.6556,52445,0.4370,0.005083,61.46,25
clic_100f17892cf7bb12beb12479641fcc4c.png,3,2.000,0.7492,50346,0.4195,0.005480,60.25,25
clic_100f17892cf7bb12beb12479641fcc4c.png,3,2.500,0.9366,46745,0.3895,0.006237,57.99,25
clic_100f17892cf7bb12beb12479641fcc4c.png,3,3.000,1.1239,43803,0.3650,0.006946,55.87,25
clic_11f2b039b293758398b1a7a8afa64bb2.png,0.5,0.250,0.0603,290855,2.9085,0.000204,90.11,26
clic_11f2b039b293758398b1a7a8afa64bb2.png,0.5,0.500,0.1205,281824,2.8182,0.000221,89.42,26
clic_11f2b039b293758398b1a7a8afa64bb2.png,0.5,0.750,0.1808,273791,2.7379,0.000239,88.74,26
clic_11f2b039b293758398b1a7a8afa64bb2.png,0.5,1.000,0.2411,266542,2.6654,0.000260,88.06,25
clic_11f2b039b293758398b1a7a8afa64bb2.png,0.5,1.250,0.3013,259839,2.5984,0.000282,87.41,25
clic_11f2b039b293758398b1a7a8afa64bb2.png,0.5,1.500,0.3616,253635,2.5364,0.000305,86.91,25
clic_11f2b039b293758398b1a7a8afa64bb2.png,0.5,1.750,0.4218,247606,2.4761,0.000329,86.40,25
clic_11f2b039b293758398b1a7a8afa64bb2.png,0.5,2.000,0.4821,241928,2.4193,0.000355,85.77,24
clic_11f2b039b293758398b1a7a8afa64bb2.png,0.5,2.500,0.6026,231415,2.3142,0.000413,84.74,24
clic_11f2b039b293758398b1a7a8afa64bb2.png,0.5,3.000,0.7232,222392,2.2239,0.000475,83.83,25
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,0.250,0.0603,190700,1.9070,0.000519,85.13,24
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,0.500,0.1205,182769,1.8277,0.000570,84.14,24
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,0.750,0.1808,175516,1.7552,0.000627,83.09,24
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,1.000,0.2411,169619,1.6962,0.000691,82.22,25
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,1.250,0.3013,164215,1.6421,0.000761,81.36,24
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,1.500,0.3616,159045,1.5904,0.000834,80.49,24
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,1.750,0.4218,154077,1.5408,0.000911,79.76,23
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,2.000,0.4821,149609,1.4961,0.000989,79.07,23
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,2.500,0.6026,141542,1.4154,0.001163,77.80,23
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,3.000,0.7232,134735,1.3474,0.001348,76.46,22
clic_11f2b039b293758398b1a7a8afa64bb2.png,1.5,0.250,0.0624,147745,1.4774,0.000953,80.67,24
clic_11f2b039b293758398b1a7a8afa64bb2.png,1.5,0.500,0.1249,141343,1.4134,0.001044,79.52,24
clic_11f2b039b293758398b1a7a8afa64bb2.png,1.5,0.750,0.1873,135726,1.3573,0.001142,78.53,23
clic_11f2b039b293758398b1a7a8afa64bb2.png,1.5,1.000,0.2497,130609,1.3061,0.001252,77.49,23
clic_11f2b039b293758398b1a7a8afa64bb2.png,1.5,1.250,0.3122,126101,1.2610,0.001372,76.67,23
clic_11f2b039b293758398b1a7a8afa64bb2.png,1.5,1.500,0.3746,121712,1.2171,0.001498,75.82,22
clic_11f2b039b293758398b1a7a8afa64bb2.png,1.5,1.750,0.4370,117764,1.1776,0.001625,74.91,22
clic_11f2b039b293758398b1a7a8afa64bb2.png,1.5,2.000,0.4995,114087,1.1409,0.001759,74.00,22
clic_11f2b039b293758398b1a7a8afa64bb2.png,1.5,2.500,0.6243,107549,1.0755,0.002036,72.35,22
clic_11f2b039b293758398b1a7a8afa64bb2.png,1.5,3.000,0.7492,101945,1.0194,0.002342,70.75,22
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,0.250,0.0655,124832,1.2483,0.001351,77.20,23
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,0.500,0.1310,119413,1.1941,0.001467,76.10,22
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,0.750,0.1965,114379,1.1438,0.001606,74.97,23
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,1.000,0.2619,109911,1.0991,0.001758,73.98,22
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,1.250,0.3274,105899,1.0590,0.001917,73.04,22
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,1.500,0.3929,102122,1.0212,0.002082,71.95,22
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,1.750,0.4584,98580,0.9858,0.002255,71.03,22
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,2.000,0.5239,95369,0.9537,0.002432,70.08,22
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,2.500,0.6549,89675,0.8968,0.002798,68.32,22
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,3.000,0.7858,85054,0.8505,0.003171,66.51,21
