image,distance,mode,file_size,bpp,dssim,rd
clic_100f17892cf7bb12beb12479641fcc4c.png,2,standard,79243,0.6604,0.002403,0.001587
clic_100f17892cf7bb12beb12479641fcc4c.png,2,aq025,91892,0.7658,0.001658,0.001270
clic_100f17892cf7bb12beb12479641fcc4c.png,2,hybrid,97917,0.8160,0.001463,0.001194
clic_100f17892cf7bb12beb12479641fcc4c.png,2,hybrid_aq025,94381,0.7865,0.001530,0.001203
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,standard,169619,1.6962,0.000691,0.001172
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,aq025,190700,1.9070,0.000519,0.000991
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,hybrid,198094,1.9809,0.000473,0.000938
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,hybrid_aq025,192646,1.9265,0.000488,0.000939
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,standard,109952,1.0995,0.001757,0.001932
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,aq025,124832,1.2483,0.001351,0.001686
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,hybrid,129379,1.2938,0.001265,0.001636
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,hybrid_aq025,124419,1.2442,0.001307,0.001626
clic_14ab4af28901fbeb1356b06d2d08ae06.png,1,standard,293814,2.4942,0.000911,0.002272
clic_14ab4af28901fbeb1356b06d2d08ae06.png,1,aq025,329913,2.8006,0.000701,0.001962
clic_14ab4af28901fbeb1356b06d2d08ae06.png,1,hybrid,343175,2.9132,0.000633,0.001843
clic_14ab4af28901fbeb1356b06d2d08ae06.png,1,hybrid_aq025,333492,2.8310,0.000661,0.001872
clic_14ab4af28901fbeb1356b06d2d08ae06.png,2,standard,188034,1.5962,0.002051,0.003274
clic_14ab4af28901fbeb1356b06d2d08ae06.png,2,aq025,213163,1.8095,0.001605,0.002904
clic_14ab4af28901fbeb1356b06d2d08ae06.png,2,hybrid,221404,1.8795,0.001493,0.002806
clic_14ab4af28901fbeb1356b06d2d08ae06.png,2,hybrid_aq025,213694,1.8140,0.001556,0.002822
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,1,standard,389995,7.3170,0.001059,0.007751
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,1,aq025,482055,9.0442,0.000412,0.003730
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,1,hybrid,519311,9.7432,0.000232,0.002258
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,1,hybrid_aq025,509364,9.5565,0.000247,0.002362
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,2,standard,262882,4.9321,0.002089,0.010302
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,2,aq025,335807,6.3003,0.001054,0.006644
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,2,hybrid,375507,7.0452,0.000705,0.004965
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,2,hybrid_aq025,355524,6.6702,0.000813,0.005421
clic_22ea12c903e41583b7c469cb86040157.png,1,standard,127499,1.2750,0.000513,0.000654
clic_22ea12c903e41583b7c469cb86040157.png,1,aq025,135846,1.3585,0.000481,0.000654
clic_22ea12c903e41583b7c469cb86040157.png,1,hybrid,135302,1.3530,0.000483,0.000653
clic_22ea12c903e41583b7c469cb86040157.png,1,hybrid_aq025,132663,1.3266,0.000487,0.000646
clic_22ea12c903e41583b7c469cb86040157.png,2,standard,82321,0.8232,0.001089,0.000896
clic_22ea12c903e41583b7c469cb86040157.png,2,aq025,87350,0.8735,0.001011,0.000883
clic_22ea12c903e41583b7c469cb86040157.png,2,hybrid,87056,0.8706,0.001013,0.000882
clic_22ea12c903e41583b7c469cb86040157.png,2,hybrid_aq025,85134,0.8513,0.001025,0.000872
