image,encoder,quality,width,height,file_size,bpp,butteraugli,dssim,ssimulacra2
11.png,jpegli,25,768,512,34497,0.701843,4.800382,0.00679545,48.8907
11.png,mozjpeg,30,768,512,21177,0.430847,5.253561,0.01033380,35.2961
11.png,jpegli,30,768,512,37566,0.764282,4.321080,0.00602203,53.3369
11.png,mozjpeg,35,768,512,24369,0.495789,5.148555,0.00816004,42.3521
11.png,jpegli,35,768,512,39430,0.802205,3.946580,0.00559145,54.9697
11.png,mozjpeg,40,768,512,27288,0.555176,4.889952,0.00688823,47.0299
11.png,jpegli,40,768,512,41228,0.838786,4.002540,0.00573965,56.7727
11.png,mozjpeg,45,768,512,30083,0.612040,4.517373,0.00629866,51.0216
11.png,jpegli,45,768,512,43846,0.892049,3.572927,0.00463354,59.9953
11.png,mozjpeg,50,768,512,32839,0.668111,4.271544,0.00553890,54.7748
11.png,jpegli,50,768,512,46145,0.938822,3.388949,0.00426398,61.4104
11.png,mozjpeg,55,768,512,35927,0.730937,4.265534,0.00466980,58.0856
11.png,jpegli,55,768,512,49017,0.997253,3.451184,0.00381702,63.7018
11.png,mozjpeg,60,768,512,38963,0.792704,4.056855,0.00407685,60.2625
11.png,jpegli,60,768,512,53257,1.083516,3.073097,0.00312880,66.4480
11.png,mozjpeg,65,768,512,42917,0.873149,3.674917,0.00346539,64.2793
11.png,jpegli,65,768,512,57605,1.171977,2.909135,0.00300105,68.7692
11.png,mozjpeg,70,768,512,47631,0.969055,3.609691,0.00297218,67.0785
11.png,jpegli,70,768,512,63719,1.296366,2.732779,0.00235171,71.4652
11.png,mozjpeg,75,768,512,54158,1.101847,3.218810,0.00236348,70.8047
11.png,jpegli,75,768,512,70618,1.436727,2.488155,0.00221533,73.9774
11.png,mozjpeg,80,768,512,63943,1.300924,3.222389,0.00182990,74.4932
11.png,jpegli,80,768,512,80093,1.629496,2.105492,0.00159887,77.4627
11.png,mozjpeg,85,768,512,75960,1.545410,2.816407,0.00138460,77.8238
11.png,jpegli,85,768,512,93975,1.911926,1.944585,0.00119073,80.9886
11.png,mozjpeg,90,768,512,97938,1.992554,2.184226,0.00086101,82.3502
11.png,jpegli,90,768,512,117431,2.389140,1.550087,0.00081225,85.0209
12.png,mozjpeg,25,768,512,11728,0.238607,5.745524,0.00545704,26.6410
12.png,jpegli,25,768,512,26491,0.538961,4.557452,0.00290044,52.3782
12.png,mozjpeg,30,768,512,13778,0.280314,5.325150,0.00438603,34.3874
12.png,jpegli,30,768,512,28598,0.581828,4.010573,0.00255294,54.7425
12.png,mozjpeg,35,768,512,15798,0.321411,4.548082,0.00359633,42.2614
12.png,jpegli,35,768,512,29786,0.605998,3.917630,0.00228888,57.6058
12.png,mozjpeg,40,768,512,17627,0.358622,4.935768,0.00308289,47.0715
12.png,jpegli,40,768,512,30993,0.630554,3.747197,0.00211371,59.7057
12.png,mozjpeg,45,768,512,19462,0.395955,3.977606,0.00266651,51.4883
12.png,jpegli,45,768,512,32576,0.662760,3.550089,0.00189281,62.0277
12.png,mozjpeg,50,768,512,21388,0.435140,3.799226,0.00229975,55.7126
12.png,jpegli,50,768,512,34015,0.692037,3.346218,0.00167939,64.8677
12.png,mozjpeg,55,768,512,23562,0.479370,3.605884,0.00202039,58.3368
12.png,jpegli,55,768,512,35751,0.727356,3.236351,0.00154887,66.0150
12.png,mozjpeg,60,768,512,25588,0.520589,3.420592,0.00179753,60.7663
12.png,jpegli,60,768,512,38436,0.781982,3.301931,0.00133404,69.0239
12.png,mozjpeg,65,768,512,28549,0.580831,3.571105,0.00150088,64.5644
12.png,jpegli,65,768,512,40895,0.832011,2.831477,0.00116571,70.7726
12.png,mozjpeg,70,768,512,31855,0.648092,3.248144,0.00127526,67.4601
12.png,jpegli,70,768,512,44900,0.913493,2.572511,0.00096612,73.3788
12.png,mozjpeg,75,768,512,36588,0.744385,2.817809,0.00098440,71.9572
12.png,jpegli,75,768,512,49443,1.005920,2.533646,0.00078727,75.7604
12.png,mozjpeg,80,768,512,43918,0.893514,2.979701,0.00074874,75.2726
12.png,jpegli,80,768,512,55862,1.136515,2.187114,0.00063234,77.9646
12.png,mozjpeg,85,768,512,53014,1.078573,2.343922,0.00054330,78.4373
12.png,jpegli,85,768,512,66000,1.342773,1.946937,0.00044827,81.4116
12.png,mozjpeg,90,768,512,70244,1.429118,2.094375,0.00033272,83.0078
12.png,jpegli,90,768,512,84109,1.711202,1.433615,0.00027053,84.8652
13.png,mozjpeg,25,768,512,30154,0.613485,5.400599,0.01305623,29.8274
13.png,jpegli,25,768,512,54379,1.106344,4.502878,0.00818067,46.6296
13.png,mozjpeg,30,768,512,35664,0.725586,5.054799,0.01053998,37.0039
13.png,jpegli,30,768,512,60218,1.225138,4.105220,0.00701988,50.0365
13.png,mozjpeg,35,768,512,40809,0.830261,5.094305,0.00862927,43.2196
13.png,jpegli,35,768,512,63540,1.292725,4.014857,0.00649394,52.3053
13.png,mozjpeg,40,768,512,45640,0.928548,4.615436,0.00732456,48.1409
13.png,jpegli,40,768,512,67055,1.364237,3.887150,0.00593270,54.7092
13.png,mozjpeg,45,768,512,50179,1.020894,4.480160,0.00638429,51.3875
13.png,jpegli,45,768,512,71842,1.461629,3.832131,0.00533284,57.0083
13.png,mozjpeg,50,768,512,54712,1.113118,4.325430,0.00560330,54.4484
13.png,jpegli,50,768,512,76559,1.557597,3.601681,0.00478886,59.2636
13.png,mozjpeg,55,768,512,59506,1.210653,3.986760,0.00483237,57.7391
13.png,jpegli,55,768,512,81929,1.666850,3.431199,0.00431752,61.5594
13.png,mozjpeg,60,768,512,64685,1.316020,3.730353,0.00428523,59.9982
13.png,jpegli,60,768,512,89430,1.819458,3.146125,0.00366903,64.7119
13.png,mozjpeg,65,768,512,71165,1.447856,3.828265,0.00361515,63.3761
13.png,jpegli,65,768,512,97167,1.976868,2.932970,0.00316155,67.5536
13.png,mozjpeg,70,768,512,78978,1.606812,3.395335,0.00300994,66.1846
13.png,jpegli,70,768,512,107545,2.188009,2.620841,0.00256850,70.3880
13.png,mozjpeg,75,768,512,88835,1.807353,3.026870,0.00240754,69.7550
13.png,jpegli,75,768,512,119217,2.425476,2.414524,0.00207425,73.5284
13.png,mozjpeg,80,768,512,103544,2.106608,2.834036,0.00179746,73.2771
13.png,jpegli,80,768,512,135664,2.760091,2.096824,0.00159845,76.5823
13.png,mozjpeg,85,768,512,122091,2.483948,2.600325,0.00128728,76.9658
13.png,jpegli,85,768,512,158074,3.216024,1.846543,0.00108626,80.4553
13.png,mozjpeg,90,768,512,152031,3.093079,2.413805,0.00076782,81.5546
13.png,jpegli,90,768,512,193653,3.939880,1.383575,0.00059532,84.9658
14.png,mozjpeg,25,768,512,23246,0.472941,7.692827,0.01209165,33.1999
14.png,jpegli,25,768,512,42366,0.861938,5.102360,0.00702416,51.8941
14.png,mozjpeg,30,768,512,27202,0.553426,5.600758,0.00961772,41.1010
14.png,jpegli,30,768,512,46282,0.941610,3.948648,0.00581166,56.1853
14.png,mozjpeg,35,768,512,31130,0.633341,5.479031,0.00808451,46.9489
14.png,jpegli,35,768,512,48632,0.989421,4.136789,0.00545334,57.3699
14.png,mozjpeg,40,768,512,34620,0.704346,4.395095,0.00692608,51.2136
14.png,jpegli,40,768,512,50917,1.035909,4.028512,0.00519745,58.8068
14.png,mozjpeg,45,768,512,38150,0.776164,5.177582,0.00604102,55.0439
14.png,jpegli,45,768,512,54122,1.101115,3.957548,0.00456604,61.3664
14.png,mozjpeg,50,768,512,41330,0.840861,4.552282,0.00531710,57.9741
14.png,jpegli,50,768,512,57069,1.161072,3.747245,0.00417529,63.9117
14.png,mozjpeg,55,768,512,45069,0.916931,4.407006,0.00462635,60.9455
14.png,jpegli,55,768,512,60718,1.235311,3.420310,0.00381732,65.7262
14.png,mozjpeg,60,768,512,48690,0.990601,3.960583,0.00416387,62.8802
14.png,jpegli,60,768,512,65944,1.341634,3.212533,0.00331368,67.8291
14.png,mozjpeg,65,768,512,53775,1.094055,3.816722,0.00351720,65.9949
14.png,jpegli,65,768,512,71025,1.445007,3.159091,0.00293140,70.0095
14.png,mozjpeg,70,768,512,59668,1.213949,3.750221,0.00291672,68.7762
14.png,jpegli,70,768,512,78546,1.598022,3.099107,0.00247167,72.7341
14.png,mozjpeg,75,768,512,67308,1.369385,3.550857,0.00235991,71.9810
14.png,jpegli,75,768,512,86966,1.769328,2.612592,0.00202066,75.2976
14.png,mozjpeg,80,768,512,79049,1.608256,3.120557,0.00181597,75.2682
14.png,jpegli,80,768,512,99102,2.016235,2.252002,0.00159578,78.2462
14.png,mozjpeg,85,768,512,93494,1.902140,2.597548,0.00133306,78.6159
14.png,jpegli,85,768,512,116555,2.371318,1.995328,0.00117714,81.5299
14.png,mozjpeg,90,768,512,118656,2.414062,2.174082,0.00082976,82.5187
14.png,jpegli,90,768,512,146290,2.976278,1.415186,0.00073167,85.5347
15.png,mozjpeg,25,768,512,13973,0.284281,5.849054,0.01719002,24.4196
15.png,jpegli,25,768,512,28394,0.577677,5.024751,0.00955285,47.5339
15.png,mozjpeg,30,768,512,16207,0.329732,5.637707,0.01401142,32.8087
15.png,jpegli,30,768,512,30598,0.622518,4.545267,0.00862930,51.6051
15.png,mozjpeg,35,768,512,18376,0.373861,5.012308,0.01154426,40.4736
15.png,jpegli,35,768,512,31861,0.648214,4.228524,0.00796018,53.9874
15.png,mozjpeg,40,768,512,20396,0.414958,5.190538,0.00993561,45.3400
15.png,jpegli,40,768,512,33043,0.672262,3.945082,0.00743141,55.3913
15.png,mozjpeg,45,768,512,22389,0.455505,4.613293,0.00868353,48.6012
15.png,jpegli,45,768,512,34787,0.707743,4.176091,0.00662921,58.2543
15.png,mozjpeg,50,768,512,24411,0.496643,4.204982,0.00760879,52.3741
15.png,jpegli,50,768,512,36410,0.740763,4.134480,0.00611198,60.7626
15.png,mozjpeg,55,768,512,26722,0.543660,4.070134,0.00669862,55.0789
15.png,jpegli,55,768,512,38238,0.777954,3.903225,0.00559945,62.5381
15.png,mozjpeg,60,768,512,28879,0.587545,3.722141,0.00614016,57.2407
15.png,jpegli,60,768,512,41117,0.836528,3.333426,0.00491416,65.8734
15.png,mozjpeg,65,768,512,32171,0.654521,3.932276,0.00515745,60.9314
15.png,jpegli,65,768,512,43931,0.893778,3.000441,0.00443443,67.5356
15.png,mozjpeg,70,768,512,35381,0.719828,3.587602,0.00442937,63.6068
15.png,jpegli,70,768,512,48254,0.981730,2.844570,0.00381712,70.5035
15.png,mozjpeg,75,768,512,40490,0.823771,3.641495,0.00357944,67.8968
15.png,jpegli,75,768,512,53010,1.078491,2.431917,0.00323996,72.9698
15.png,mozjpeg,80,768,512,48283,0.982320,2.760021,0.00274512,72.1902
15.png,jpegli,80,768,512,60235,1.225484,2.259111,0.00266266,76.1463
15.png,mozjpeg,85,768,512,57752,1.174967,2.697001,0.00206915,75.8215
15.png,jpegli,85,768,512,71004,1.444580,1.813894,0.00201496,79.5878
15.png,mozjpeg,90,768,512,75338,1.532756,2.230690,0.00133383,80.1854
15.png,jpegli,90,768,512,91114,1.853719,1.600919,0.00132723,83.8590
16.png,mozjpeg,25,768,512,13515,0.274963,6.958856,0.01153757,22.6516
16.png,jpegli,25,768,512,29504,0.600260,4.222733,0.00647795,47.2381
16.png,mozjpeg,30,768,512,16134,0.328247,4.905414,0.00915168,31.5530
16.png,jpegli,30,768,512,32089,0.652852,4.175230,0.00542397,52.1076
16.png,mozjpeg,35,768,512,18638,0.379191,4.465062,0.00755412,39.2306
16.png,jpegli,35,768,512,33513,0.681824,3.937355,0.00506642,53.7672
16.png,mozjpeg,40,768,512,21016,0.427572,4.230863,0.00630857,45.2794
16.png,jpegli,40,768,512,35005,0.712179,3.499796,0.00460646,57.0308
16.png,mozjpeg,45,768,512,23132,0.470622,3.876743,0.00542712,49.2148
16.png,jpegli,45,768,512,37043,0.753642,3.650157,0.00416182,59.0499
16.png,mozjpeg,50,768,512,25409,0.516947,4.227237,0.00472100,53.6462
16.png,jpegli,50,768,512,38866,0.790731,3.429880,0.00380334,61.3974
16.png,mozjpeg,55,768,512,28090,0.571493,3.664265,0.00414839,56.9245
16.png,jpegli,55,768,512,41084,0.835856,3.450744,0.00331281,64.1292
16.png,mozjpeg,60,768,512,30553,0.621602,3.585514,0.00369023,59.4179
16.png,jpegli,60,768,512,44502,0.905396,3.012252,0.00284327,66.6843
16.png,mozjpeg,65,768,512,34048,0.692708,3.430472,0.00301178,63.6463
16.png,jpegli,65,768,512,47622,0.968872,2.888028,0.00243534,69.0358
16.png,mozjpeg,70,768,512,38025,0.773621,3.146707,0.00251890,66.5501
16.png,jpegli,70,768,512,52332,1.064697,2.495436,0.00200908,72.1579
16.png,mozjpeg,75,768,512,43643,0.887919,3.277054,0.00195687,70.8549
16.png,jpegli,75,768,512,57697,1.173848,2.332993,0.00161046,74.7568
16.png,mozjpeg,80,768,512,52141,1.060811,2.791452,0.00144613,74.7374
16.png,jpegli,80,768,512,65023,1.322896,2.193069,0.00122655,78.0639
16.png,mozjpeg,85,768,512,62045,1.262309,2.459795,0.00103165,78.4304
16.png,jpegli,85,768,512,76016,1.546549,1.715868,0.00087163,81.1430
16.png,mozjpeg,90,768,512,80885,1.645610,2.164923,0.00061228,83.3066
16.png,jpegli,90,768,512,95205,1.936951,1.542540,0.00051512,85.1368
17.png,mozjpeg,25,512,768,15296,0.311198,5.443985,0.01603457,34.5261
17.png,jpegli,25,512,768,31015,0.631002,4.687787,0.01123944,54.3205
17.png,mozjpeg,30,512,768,17883,0.363831,5.400194,0.01204054,42.2897
17.png,jpegli,30,512,768,33295,0.677389,4.036909,0.00778855,58.8879
17.png,mozjpeg,35,512,768,20268,0.412354,5.090998,0.01034820,48.5596
17.png,jpegli,35,512,768,34607,0.704081,3.683312,0.00764976,60.6131
17.png,mozjpeg,40,512,768,22527,0.458313,4.410546,0.00856138,53.5632
17.png,jpegli,40,512,768,35756,0.727458,3.468605,0.00592084,61.9794
17.png,mozjpeg,45,512,768,24597,0.500427,4.200336,0.00792592,56.3473
17.png,jpegli,45,512,768,37624,0.765462,3.388531,0.00536328,64.4097
17.png,mozjpeg,50,512,768,26788,0.545003,4.281224,0.00684398,60.0100
17.png,jpegli,50,512,768,39187,0.797262,3.361575,0.00504533,66.3094
17.png,mozjpeg,55,512,768,29030,0.590617,4.029081,0.00605697,62.5746
17.png,jpegli,55,512,768,41022,0.834595,3.240264,0.00462797,68.4500
17.png,mozjpeg,60,512,768,31251,0.635803,3.922748,0.00567933,64.2964
17.png,jpegli,60,512,768,43977,0.894714,3.012796,0.00415235,70.4374
17.png,mozjpeg,65,512,768,34501,0.701925,3.519665,0.00478853,67.8154
17.png,jpegli,65,512,768,46808,0.952311,2.776699,0.00366970,72.4154
17.png,mozjpeg,70,512,768,38278,0.778768,3.753101,0.00423522,70.3068
17.png,jpegli,70,512,768,51147,1.040588,2.624817,0.00336688,74.1517
17.png,mozjpeg,75,512,768,43318,0.881307,2.988320,0.00336225,73.6554
17.png,jpegli,75,512,768,55972,1.138753,2.381553,0.00289858,76.4044
17.png,mozjpeg,80,512,768,51166,1.040975,2.738599,0.00281382,76.5999
17.png,jpegli,80,512,768,62941,1.280538,2.238441,0.00250819,79.3240
17.png,mozjpeg,85,512,768,60826,1.237508,2.727781,0.00235964,79.3639
17.png,jpegli,85,512,768,73754,1.500529,1.785645,0.00227084,81.9680
17.png,mozjpeg,90,512,768,78962,1.606486,1.958950,0.00168859,83.1829
17.png,jpegli,90,512,768,93109,1.894307,1.449144,0.00179358,85.4821
18.png,mozjpeg,25,512,768,22598,0.459757,5.551122,0.01514762,30.3167
18.png,jpegli,25,512,768,40500,0.823975,4.439793,0.00862248,48.3947
18.png,mozjpeg,30,512,768,26581,0.540792,5.326735,0.01208399,38.4987
18.png,jpegli,30,512,768,44350,0.902303,4.034493,0.00717125,53.4365
18.png,mozjpeg,35,512,768,30155,0.613505,4.794780,0.00995346,44.3901
18.png,jpegli,35,512,768,46437,0.944763,4.259398,0.00660958,55.4454
18.png,mozjpeg,40,512,768,33702,0.685669,4.619383,0.00837738,48.3622
18.png,jpegli,40,512,768,48710,0.991007,3.813723,0.00609762,57.2124
18.png,mozjpeg,45,512,768,37093,0.754659,4.238268,0.00714458,52.8171
18.png,jpegli,45,512,768,51686,1.051554,3.594487,0.00549673,59.7969
18.png,mozjpeg,50,512,768,40447,0.822896,4.708040,0.00623716,56.0182
18.png,jpegli,50,512,768,54408,1.106934,3.537459,0.00505789,61.9373
18.png,mozjpeg,55,512,768,43913,0.893412,4.357689,0.00541053,58.6997
18.png,jpegli,55,512,768,57678,1.173462,3.496233,0.00455127,63.6375
18.png,mozjpeg,60,512,768,47609,0.968608,3.927100,0.00484457,60.8454
18.png,jpegli,60,512,768,62507,1.271708,3.185616,0.00402240,66.1658
18.png,mozjpeg,65,512,768,52387,1.065816,3.694164,0.00404647,64.1193
18.png,jpegli,65,512,768,67444,1.372152,3.100901,0.00350562,68.4014
18.png,mozjpeg,70,512,768,57982,1.179647,3.490406,0.00341965,66.8170
18.png,jpegli,70,512,768,74578,1.517293,3.029359,0.00300762,71.0525
18.png,mozjpeg,75,512,768,65395,1.330465,3.280300,0.00272577,70.2283
18.png,jpegli,75,512,768,82354,1.675496,2.585970,0.00252004,73.4006
18.png,mozjpeg,80,512,768,76945,1.565450,3.468690,0.00206739,73.6281
18.png,jpegli,80,512,768,93718,1.906698,2.325993,0.00207529,76.2757
18.png,mozjpeg,85,512,768,91359,1.858704,2.522583,0.00153954,76.9601
18.png,jpegli,85,512,768,110940,2.257080,1.927974,0.00154483,79.4839
18.png,mozjpeg,90,512,768,116711,2.374491,2.106917,0.00097366,81.2270
18.png,jpegli,90,512,768,141255,2.873840,1.584184,0.00097429,83.5697
19.png,mozjpeg,25,512,768,16847,0.342753,5.898646,0.01070757,26.1300
19.png,jpegli,25,512,768,33437,0.680278,4.742973,0.00656388,48.4340
19.png,mozjpeg,30,512,768,19753,0.401876,5.062547,0.00871826,34.6065
19.png,jpegli,30,512,768,36053,0.733500,4.280307,0.00586274,52.3911
19.png,mozjpeg,35,512,768,22560,0.458984,5.168373,0.00716870,41.3339
19.png,jpegli,35,512,768,37561,0.764181,4.006184,0.00534499,54.4862
19.png,mozjpeg,40,512,768,25097,0.510600,4.783823,0.00619164,46.6022
19.png,jpegli,40,512,768,39066,0.794800,3.728720,0.00491895,56.4089
19.png,mozjpeg,45,512,768,27565,0.560811,5.310597,0.00538766,50.3036
19.png,jpegli,45,512,768,41300,0.840251,3.434995,0.00445137,58.6695
19.png,mozjpeg,50,512,768,30131,0.613017,4.259491,0.00475160,53.9850
19.png,jpegli,50,512,768,43316,0.881266,3.369140,0.00402295,60.7114
19.png,mozjpeg,55,512,768,33077,0.672953,3.881534,0.00413407,57.5096
19.png,jpegli,55,512,768,45690,0.929565,3.272855,0.00361630,63.0066
19.png,mozjpeg,60,512,768,35918,0.730754,3.890043,0.00366078,60.0988
19.png,jpegli,60,512,768,49192,1.000814,2.937240,0.00310865,65.6387
19.png,mozjpeg,65,512,768,39845,0.810649,3.533520,0.00310204,63.9902
19.png,jpegli,65,512,768,52739,1.072978,2.843486,0.00270465,67.8167
19.png,mozjpeg,70,512,768,44031,0.895813,3.265428,0.00264101,66.7072
19.png,jpegli,70,512,768,58061,1.181254,2.640453,0.00221447,70.9091
19.png,mozjpeg,75,512,768,50097,1.019226,3.113509,0.00208678,70.9713
19.png,jpegli,75,512,768,64110,1.304321,2.498228,0.00178749,73.8020
19.png,mozjpeg,80,512,768,59461,1.209737,3.243974,0.00158813,74.5989
19.png,jpegli,80,512,768,72542,1.475871,2.126902,0.00138479,76.8657
19.png,mozjpeg,85,512,768,70679,1.437968,2.807616,0.00116387,77.9440
19.png,jpegli,85,512,768,85649,1.742533,1.851530,0.00095830,80.5853
19.png,mozjpeg,90,512,768,91299,1.857483,2.280790,0.00070255,82.4563
19.png,jpegli,90,512,768,109368,2.225098,1.463980,0.00054891,84.6615
2.png,mozjpeg,25,768,512,12006,0.244263,5.678156,0.01417953,20.2919
2.png,jpegli,25,768,512,26407,0.537252,4.348577,0.00774640,42.8603
2.png,mozjpeg,30,768,512,14252,0.289958,6.254357,0.01137230,28.4176
2.png,jpegli,30,768,512,28685,0.583598,4.366738,0.00689604,47.9618
2.png,mozjpeg,35,768,512,16592,0.337565,4.738955,0.00942694,36.0701
2.png,jpegli,35,768,512,30001,0.610372,4.078889,0.00625892,50.8824
2.png,mozjpeg,40,768,512,18873,0.383972,4.376490,0.00779376,41.5887
2.png,jpegli,40,768,512,31355,0.637919,3.826437,0.00525104,52.9542
2.png,mozjpeg,45,768,512,21157,0.430440,4.216693,0.00689302,44.9518
2.png,jpegli,45,768,512,33346,0.678426,3.534300,0.00489672,56.0719
2.png,mozjpeg,50,768,512,23252,0.473063,4.189070,0.00584072,49.8643
2.png,jpegli,50,768,512,35044,0.712972,3.774214,0.00450938,57.7467
2.png,mozjpeg,55,768,512,25743,0.523743,4.062666,0.00511066,53.1501
2.png,jpegli,55,768,512,37106,0.754924,3.385819,0.00395094,60.3607
2.png,mozjpeg,60,768,512,28181,0.573344,3.957910,0.00460614,55.8066
2.png,jpegli,60,768,512,40269,0.819275,3.358385,0.00358082,63.3583
2.png,mozjpeg,65,768,512,31556,0.642008,3.574688,0.00387742,59.9684
2.png,jpegli,65,768,512,43590,0.886841,3.184175,0.00309822,65.3453
2.png,mozjpeg,70,768,512,35608,0.724447,3.559494,0.00321103,63.0400
2.png,jpegli,70,768,512,48622,0.989217,2.858302,0.00247863,68.6607
2.png,mozjpeg,75,768,512,41362,0.841512,3.507977,0.00253297,67.6022
2.png,jpegli,75,768,512,54354,1.105835,2.707671,0.00205396,71.2664
2.png,mozjpeg,80,768,512,50624,1.029948,2.716487,0.00186925,72.2615
2.png,jpegli,80,768,512,63177,1.285339,2.368098,0.00161016,75.1712
2.png,mozjpeg,85,768,512,61957,1.260518,2.468985,0.00139653,76.2076
2.png,jpegli,85,768,512,76163,1.549540,2.075867,0.00117774,79.1517
2.png,mozjpeg,90,768,512,82585,1.680196,2.118993,0.00084268,81.3791
2.png,jpegli,90,768,512,100512,2.044922,1.640649,0.00070661,83.8728
20.png,mozjpeg,25,768,512,12303,0.250305,6.028945,0.00977008,40.8127
20.png,jpegli,25,768,512,26266,0.534383,4.395015,0.00604599,54.8860
20.png,mozjpeg,30,768,512,14324,0.291423,5.733434,0.00791290,47.4207
20.png,jpegli,30,768,512,28170,0.573120,3.907799,0.00513425,57.9210
20.png,mozjpeg,35,768,512,16093,0.327413,5.213383,0.00665051,52.5785
20.png,jpegli,35,768,512,29169,0.593445,3.755696,0.00477222,59.9726
20.png,mozjpeg,40,768,512,17825,0.362651,4.821296,0.00569158,55.9149
20.png,jpegli,40,768,512,30174,0.613892,3.557664,0.00442685,61.3195
20.png,mozjpeg,45,768,512,19466,0.396037,4.292113,0.00503029,58.6729
20.png,jpegli,45,768,512,31736,0.645671,3.822202,0.00400492,63.1072
20.png,mozjpeg,50,768,512,21141,0.430115,4.104036,0.00439708,61.1297
20.png,jpegli,50,768,512,33142,0.674276,3.390969,0.00366593,64.9510
